Type;Rent;Move in price;Address;Link
1 værelses lejlighed på 39 m²;2.482;20.089,-;Hadsundvej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/39m2-1-vaer-id-5171296
1 værelses hus på 130 m²;2.500;10.200,-;Hermodsgade, 9000 Aalborg, Aalborg;https://www.boligportal.dk/huse/aalborg/130m2-1-vaer-id-3773489
1 værelses lejlighed på 37 m²;2.701;12.051,-;Bakkegårdsvej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/37m2-1-vaer-id-5143501
1 værelses lejlighed på 37 m²;2.790;19.276,-;Hadsundvej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/37m2-1-vaer-id-5171282
1 værelses lejlighed på 36 m²;2.798;11.462,-;Myrdalstræde, 9220 Aalborg, Aalborg Øst;https://www.boligportal.dk/lejligheder/aalborg/36m2-1-vaer-id-5160365
2 værelses lejlighed på 40 m²;2.800;14.700,-;Valdemarsgade, 9000 Aalborg, Aalborg - 4. sal;https://www.boligportal.dk/lejligheder/aalborg/40m2-2-vaer-id-4946642
2 værelses lejlighed på 42 m²;2.900;7.600,-;Herskindsgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/42m2-2-vaer-id-5095818
2 værelses lejlighed på 38 m²;2.950;12.150,-;Provstejorden, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/38m2-2-vaer-id-5097541
2 værelses lejlighed på 58 m²;3.000;15.800,-;Turøgade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/58m2-2-vaer-id-5146281
1 værelses lejlighed på 39 m²;3.122;20.479,-;Hadsundvej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/39m2-1-vaer-id-5050091
2 værelses lejlighed på 59 m²;3.165;22.655,-;Mølndalsvej, 9400 Aalborg, Nørresundby - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/59m2-2-vaer-id-5175887
1 værelses lejlighed på 49 m²;3.201;16.405,-;Gammel Østergade, 9400 Aalborg, Nørresundby - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/49m2-1-vaer-id-4951866
1 værelses lejlighed på 36 m²;3.204;13.436,-;Toldstrupsgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/36m2-1-vaer-id-4800736
1 værelses lejlighed på 39 m²;3.250;13.275,-;Myrdalstræde, 9220 Aalborg, Aalborg Øst - Stuen;https://www.boligportal.dk/lejligheder/aalborg/39m2-1-vaer-id-4661992
1 værelses lejlighed på 40 m²;3.254;16.970,-;Gammel Østergade, 9400 Aalborg, Nørresundby - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/40m2-1-vaer-id-5076633
1 værelses lejlighed på 130 m²;3.300;16.500,-;Urbansgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/130m2-1-vaer-id-4858262
1 værelses lejlighed på 40 m²;3.321;13.555,-;Myrdalstræde, 9220 Aalborg, Aalborg Øst;https://www.boligportal.dk/lejligheder/aalborg/40m2-1-vaer-id-385101
2 værelses lejlighed på 39 m²;3.400;17.600,-;Dronningens Tværgade, 9400 Aalborg, Nørresundby;https://www.boligportal.dk/lejligheder/aalborg/39m2-2-vaer-id-5174807
1 værelses lejlighed på 39 m²;2.482;20.089,-;Hadsundvej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/39m2-1-vaer-id-5171296
1 værelses hus på 130 m²;2.500;10.200,-;Hermodsgade, 9000 Aalborg, Aalborg;https://www.boligportal.dk/huse/aalborg/130m2-1-vaer-id-3773489
1 værelses lejlighed på 37 m²;2.701;12.051,-;Bakkegårdsvej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/37m2-1-vaer-id-5143501
1 værelses lejlighed på 37 m²;2.790;19.276,-;Hadsundvej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/37m2-1-vaer-id-5171282
1 værelses lejlighed på 36 m²;2.798;11.462,-;Myrdalstræde, 9220 Aalborg, Aalborg Øst;https://www.boligportal.dk/lejligheder/aalborg/36m2-1-vaer-id-5160365
2 værelses lejlighed på 40 m²;2.800;14.700,-;Valdemarsgade, 9000 Aalborg, Aalborg - 4. sal;https://www.boligportal.dk/lejligheder/aalborg/40m2-2-vaer-id-4946642
2 værelses lejlighed på 42 m²;2.900;7.600,-;Herskindsgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/42m2-2-vaer-id-5095818
