Type;Rent;Move in price;Address;Link
4 room apartment of 93 m²;12.600;89.200,-;Vendersgade, 1363 København, København K - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/93m2-4-room-id-2405768;
3 room apartment of 80 m²;12.000;61.000,-;Robert Jacobsens Vej, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/80m2-3-room-id-5230244;
2 room apartment of 54 m²;7.600;30.400,-;Bregnerødgade, 2200 København, København N - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/54m2-2-room-id-5230216;
2 room apartment of 60 m²;12.000;24.000,-;Peter Fabers Gade, 2200 København, København N - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/60m2-2-room-id-4755898;
3 room apartment of 95 m²;13.400;54.420,-;Else Alfelts Vej, 2300 København, København S - 10th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/95m2-3-room-id-5166494;
4 room apartment of 93 m²;12.600;89.200,-;Vendersgade, 1363 København, København K - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/93m2-4-room-id-2405768;
3 room apartment of 80 m²;12.000;61.000,-;Robert Jacobsens Vej, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/80m2-3-room-id-5230244;
3 room apartment of 95 m²;13.400;54.420,-;Else Alfelts Vej, 2300 København, København S - 10th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/95m2-3-room-id-5166494;
3 room apartment of 79 m²;12.600;51.400,-;Richard Mortensens Vej, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/79m2-3-room-id-4591720;
3 room apartment of 97 m²;13.000;66.051,-;Robert Jacobsens Vej, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/97m2-3-room-id-5228575;
2 room apartment of 76 m²;11.350;57.574,-;Ørestads Boulevard, 2300 København, København S - 7th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/76m2-2-room-id-5229129;
3 room apartment of 106 m²;12.500;63.560,-;Bygmestervej, 2400 København, København NV - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/106m2-3-room-id-4444465;
2 room apartment of 53 m²;10.600;53.596,-;Ørestads Boulevard, 2300 København, København S - 6th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/53m2-2-room-id-5151552;
3 room apartment of 97 m²;13.550;68.801,-;Robert Jacobsens Vej, 2300 København, København S - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/97m2-3-room-id-5220268;
2 room apartment of 84 m²;11.995;60.675,-;Parmagade, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/84m2-2-room-id-4749296;
3 room apartment of 102 m²;12.498;50.791,-;Frederikssundsvej, 2400 København, København Nv - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/102m2-3-room-id-4744286;
2 room apartment of 73 m²;12.000;62.000,-;Edvard Thomsens Vej, 2300 København, København S - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/73m2-2-room-id-5229897;
2 room apartment of 72 m²;9.000;63.645,-;Nordens Plads, 2000 København, Frederiksberg - 21st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/72m2-2-room-id-5230001;
2 room apartment of 56 m²;7.084;50.338,-;Utterslev Torv, 2400 København, København NV - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/56m2-2-room-id-5229994;
2 room apartment of 70 m²;14.200;71.800,-;Skt. Petersborg Pl, 2150 København, Nordhavn - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/70m2-2-room-id-5229718;
4 room apartment of 107 m²;14.200;72.204,-;Ørestads Boulevard, 2300 København, København S - 10th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/107m2-4-room-id-5229974;
3 room apartment of 99 m²;12.800;65.114,-;Ørestads Boulevard, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/99m2-3-room-id-5056171;
2 room apartment of 72 m²;9.000;63.845,-;Nordens Plads, 2000 København, Frederiksberg - 21st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/72m2-2-room-id-4876523;
2 room apartment of 74 m²;9.250;65.645,-;Nordens Plads, 2000 København, Frederiksberg - 21st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/74m2-2-room-id-5229973;
3 room apartment of 78 m²;10.725;76.270,-;Istedgade, 1650 København, København V - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/78m2-3-room-id-4830353;
4 room apartment of 94 m²;13.450;68.269,-;Richard Mortensens Vej, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/94m2-4-room-id-5119728;
2 room apartment of 79 m²;12.000;48.700,-;M. Luther Kings Vej, 2450 København, København SV - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/79m2-2-room-id-5229937;
2 room apartment of 69 m²;11.400;57.776,-;Ørestads Boulevard, 2300 København, København S - 6th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/69m2-2-room-id-5151484;
4 room apartment of 105 m²;13.450;54.938,-;Else Alfelts Vej, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/105m2-4-room-id-5201871;
3 room apartment of 77 m²;12.400;62.834,-;Asger Jorns Allé, 2300 København, København S - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/77m2-3-room-id-5229799;
2 room apartment of 68 m²;11.200;44.800,-;Asger Jorns Allé, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/68m2-2-room-id-5229768;
3 room apartment of 86 m²;12.244;75.735,-;Paradisæblevej, 2500 København, Valby - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/86m2-3-room-id-5191557;
2 room apartment of 77 m²;14.500;73.730,-;Thorshavnsgade, 2300 København, København S - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/77m2-2-room-id-4371339;
3 room apartment of 88 m²;13.550;68.400,-;Axel Strøbyes Vej, 2500 København, Valby - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/88m2-3-room-id-5229452;
3 room apartment of 83 m²;12.095;61.319,-;Trekronergade, 2500 København, Valby - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/83m2-3-room-id-5229402;
3 room apartment of 90 m²;13.800;63.700,-;Nordre Frihavnsgade, 2100 København, København Ø - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/90m2-3-room-id-1280193;
2 room apartment of 67 m²;13.200;66.750,-;Marskensgade, 2100 København, København Ø - 1st floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/67m2-2-room-id-5229304;
2 room apartment of 77 m²;11.600;47.300,-;Robert Jacobsens Vej, 2300 København, København S - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/77m2-2-room-id-5229302;
4 room apartment of 92 m²;14.000;57.100,-;Robert Jacobsens Vej, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/92m2-4-room-id-5229301;
2 room apartment of 72 m²;13.400;67.750,-;Marskensgade, 2100 København, København Ø - Ground floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/72m2-2-room-id-4910013;
2 room apartment of 52 m²;10.800;49.650,-;Søndre Fasanvej, 2500 København, Valby - 4th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/52m2-2-room-id-5229297;
2 room apartment of 58 m²;11.400;57.600,-;Nadine Gordimers Vej, 2300 København, København S - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/58m2-2-room-id-5229274;
3 room apartment of 94 m²;13.195;67.075,-;C.F. Møllers Allé, 2300 København, København S - 6th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/94m2-3-room-id-5229269;
2 room apartment of 67 m²;11.000;44.790,-;Hamletsgade, 2200 København, København N - 2nd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/67m2-2-room-id-4298721;
2 room apartment of 61 m²;13.000;78.500,-;Willy Brandts Vej, 2450 København, København Sv - 3rd floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/61m2-2-room-id-4410968;
3 room apartment of 101 m²;14.500;58.810,-;Robert Jacobsens Vej, 2300 København, København S - 5th floor;https://www.boligportal.dk/en/rental-apartments/k%C3%B8benhavn/101m2-3-room-id-4317532;
