Type;Rent;Move in price;Address;Link
2 værelses lejlighed på 45 m²;7.000;7.000;Vestermarksvej, 2300 København, København S;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/45m2-2-vaer-id-5158577
1 værelses lejlighed på 15 m²;7.000;14.000;Amager Boulevard, 2300 København, København S - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/15m2-1-vaer-id-5143633
2 værelses lejlighed på 65 m²;8.000;14.500;Langøgade, 2100 København, København Ø - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/65m2-2-vaer-id-5165875
2 værelses lejlighed på 50 m²;6.800;16.800;Fiskedamsgade, 2100 København, København Ø - 5. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/50m2-2-vaer-id-5198320
1 værelses lejlighed på 43 m²;7.000;21.770;Randersgade, 2100 København, København Ø - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/43m2-1-vaer-id-5201765
2 værelses lejlighed på 62 m²;7.500;22.500;Prinsessegade, 1422 København, København K;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/62m2-2-vaer-id-5184312
1 værelses lejlighed på 38 m²;5.600;22.725;Kulbanevej, 2500 København, Valby - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/38m2-1-vaer-id-4733344
1 værelses lejlighed på 38 m²;5.600;22.725;Kulbanevej, 2500 København, Valby - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/38m2-1-vaer-id-4733344
1 værelses lejlighed på 38 m²;5.600;22.725;Kulbanevej, 2500 København, Valby - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/38m2-1-vaer-id-4733344
1 værelses lejlighed på 36 m²;5.662;22.848;Jagtvej, 2200 København, København N - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/36m2-1-vaer-id-3590308
1 værelses lejlighed på 36 m²;5.662;22.848;Jagtvej, 2200 København, København N - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/36m2-1-vaer-id-3590308
1 værelses lejlighed på 36 m²;5.662;22.848;Jagtvej, 2200 København, København N - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/36m2-1-vaer-id-3590308
1 værelses lejlighed på 26 m²;5.800;23.525;Danshøjvej, 2500 København, Valby;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/26m2-1-vaer-id-4938762
1 værelses lejlighed på 26 m²;5.800;23.525;Danshøjvej, 2500 København, Valby;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/26m2-1-vaer-id-5169234
1 værelses lejlighed på 26 m²;5.800;23.525;Danshøjvej, 2500 København, Valby;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/26m2-1-vaer-id-4938762
1 værelses lejlighed på 26 m²;5.800;23.525;Danshøjvej, 2500 København, Valby;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/26m2-1-vaer-id-5169234
1 værelses lejlighed på 26 m²;5.800;23.525;Danshøjvej, 2500 København, Valby;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/26m2-1-vaer-id-4938762
1 værelses lejlighed på 26 m²;5.800;23.525;Danshøjvej, 2500 København, Valby;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/26m2-1-vaer-id-5169234
2 værelses lejlighed på 70 m²;8.000;24.000;Ørnevej, 2400 København, København Nv - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/70m2-2-vaer-id-4235239
1 værelses lejlighed på 42 m²;6.450;26.000;Jagtvej, 2200 København, København N - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/42m2-1-vaer-id-3590299
1 værelses lejlighed på 15 m²;6.500;26.000;Amagerbrogade, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/15m2-1-vaer-id-5193135
1 værelses lejlighed på 42 m²;6.450;26.000;Jagtvej, 2200 København, København N - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/42m2-1-vaer-id-3590299
1 værelses lejlighed på 15 m²;6.500;26.000;Amagerbrogade, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/15m2-1-vaer-id-5193135
1 værelses lejlighed på 42 m²;6.450;26.000;Jagtvej, 2200 København, København N - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/42m2-1-vaer-id-3590299
1 værelses lejlighed på 15 m²;6.500;26.000;Amagerbrogade, 2300 København, København S - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/15m2-1-vaer-id-5193135
2 værelses lejlighed på 46 m²;9.000;27.000;Viborggade, 2100 København, København Ø - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/46m2-2-vaer-id-3567447
1 værelses lejlighed på 42 m²;5.425;27.625;Gravervænget, 2400 København, København NV - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/42m2-1-vaer-id-5201757
1 værelses lejlighed på 42 m²;5.425;27.625;Gravervænget, 2400 København, København NV - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/42m2-1-vaer-id-5201757
1 værelses lejlighed på 42 m²;5.425;27.625;Gravervænget, 2400 København, København NV - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/42m2-1-vaer-id-5201757
1 værelses lejlighed på 45 m²;6.946;27.984;Jagtvej, 2200 København, København N - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/45m2-1-vaer-id-3695272
1 værelses lejlighed på 45 m²;6.946;27.984;Jagtvej, 2200 København, København N - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/45m2-1-vaer-id-3590317
2 værelses lejlighed på 47 m²;7.500;30.000;Sjælør Boulevard, 2450 København, København SV - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/47m2-2-vaer-id-5194364
1 værelses lejlighed på 70 m²;7.300;30.312;Christian II's Allé, 2300 København, København S;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/70m2-1-vaer-id-5201796
1 værelses lejlighed på 41 m²;6.000;30.400;Dortheavej, 2400 København, København NV - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/41m2-1-vaer-id-5201432
1 værelses lejlighed på 41 m²;6.000;30.400;Dortheavej, 2400 København, København NV - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/41m2-1-vaer-id-5201432
1 værelses lejlighed på 41 m²;6.000;30.400;Dortheavej, 2400 København, København NV - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/41m2-1-vaer-id-5201432
1 værelses lejlighed på 41 m²;6.000;30.600;Dortheavej, 2400 København, København NV - 4. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/41m2-1-vaer-id-5197660
1 værelses lejlighed på 41 m²;6.000;30.600;Dortheavej, 2400 København, København NV - 4. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/41m2-1-vaer-id-5197660
1 værelses lejlighed på 41 m²;6.000;30.600;Dortheavej, 2400 København, København NV - 4. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/41m2-1-vaer-id-5197660
1 værelses lejlighed på 49 m²;7.607;30.678;Jagtvej, 2200 København, København N - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/49m2-1-vaer-id-4677605
2 værelses lejlighed på 60 m²;7.600;31.000;Danshøjvej, 2500 København, Valby - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/60m2-2-vaer-id-5202049
2 værelses lejlighed på 41 m²;9.000;31.500;Glentevej, 2400 København, København NV - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/41m2-2-vaer-id-5112655
1 værelses lejlighed på 27 m²;6.260;31.700;Dortheavej , 2400 København, København Nv;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/27m2-1-vaer-id-5096706
1 værelses lejlighed på 27 m²;6.260;31.700;Dortheavej , 2400 København, København Nv;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/27m2-1-vaer-id-5096706
1 værelses lejlighed på 27 m²;6.260;31.700;Dortheavej , 2400 København, København Nv;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/27m2-1-vaer-id-5096706
1 værelses lejlighed på 107 m²;8.000;32.000;Peder Hjorts Vej, 2500 København, Valby - 5. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/107m2-1-vaer-id-5198861
1 værelses lejlighed på 34 m²;6.350;32.200;Poul Reichhardts Vej, 2500 København, Valby - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/34m2-1-vaer-id-5199387
1 værelses lejlighed på 34 m²;6.350;32.200;Poul Reichhardts Vej, 2500 København, Valby - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/34m2-1-vaer-id-5199387
1 værelses lejlighed på 34 m²;6.350;32.200;Poul Reichhardts Vej, 2500 København, Valby - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/34m2-1-vaer-id-5199387
1 værelses lejlighed på 40 m²;8.000;32.400;Rådmandsgade, 2200 København, København N - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/40m2-1-vaer-id-5196869
